Top 5 des albums de Michael Jackson en termes de ventes mondiales,,,
,,,
Nom de l'album,Année de sortie,Ventes mondiales estimées,Top 5 des chansons les plus populaires de l'album
Thriller,1982,66 millions,"Billie Jean, Thriller, Beat It, Wanna Be Startin' Somethin', Human Nature"
Bad,1987,35 millions,"Bad, The Way You Make Me Feel, Man in the Mirror, Dirty Diana, Smooth Criminal"
Dangerous,1991,20 millions,"Black or White, Remember the Time, In the Closet, Dangerous, Who Is It"
"HIStory: Past, Present and Future, Book I",1995,20 millions,"You Are Not Alone, Scream,  Earth Song, They Don't Care About Us, Stranger in Moscow"
Invincible,2001,6 millions,"You Rock My World, Butterflies, Speechless, Unbreakable, Cry"
